class_num, s, class, url
107, 9, fco, https://i.seadn.io/gcs/files/5210259e6aa9b781203cdf2b66d2c042.png?auto=format&w=384
108, 9, fco, https://i.seadn.io/gcs/files/5a77ca9145001d1c9bf6ba19c4f73d45.png?auto=format&w=384
109, 9, fco, https://i.seadn.io/gcs/files/59a255a6be5ec1c0bca9e476aab0a802.png?auto=format&w=384
110, 9, fco, https://i.seadn.io/gcs/files/c07e7ec6dffaa404483372c3f341dea7.png?auto=format&w=384
111, 9, fco, https://i.seadn.io/gcs/files/60bf00392588d6002cc2d11f36286148.png?auto=format&w=384
112, 9, fco, https://i.seadn.io/gcs/files/a533bd3565d68dabb460cfe67f0b19ad.png?auto=format&w=384
113, 9, fco, https://i.seadn.io/gcs/files/9ce78ffffba4902cfc7d78e7170223a2.png?auto=format&w=384
114, 9, fco, https://i.seadn.io/gcs/files/01b4b25d0c5e8e2f9408c01add292daa.png?auto=format&w=384
115, 9, fco, https://i.seadn.io/gcs/files/b1ca5d39fe191fc4c9fa79a77996abab.png?auto=format&w=384
116, 9, fco, https://i.seadn.io/gcs/files/0588ec2530e9b9ebb35ed9b03e1c0212.png?auto=format&w=384
117, 9, fco, https://i.seadn.io/gcs/files/c8fb2d76354d1309dbdd6ed3d9d4233e.png?auto=format&w=256
118, 9, fco, https://i.seadn.io/gcs/files/babdc577205b4cbb85f1777b85875101.png?auto=format&w=256
119, 9, fco, https://i.seadn.io/gcs/files/791e326335c66358b994549edf4936e2.png?auto=format&w=256
120, 9, fco, https://i.seadn.io/gcs/files/9259202a0638ce945ff3ede1f4329e29.png?auto=format&w=256
101, 10, fco, https://i.seadn.io/gae/ZGDhzIumRrRELKWEVJaVRvUUvYh1Dm2Kv_txJQVH6Itx_DpmBfvMfyluFmjku2zxGzDNC_aLSETuk3dC5-9dQfyt0JWkCzOGirtA?auto=format&w=384
102, 10, fco, https://i.seadn.io/gae/4TC11_9ffCO7eluA-0F6PIgitEa5by138TzYzqTsHV3oECo3AQuHvHCtlCad6JwWFbiR0Sjm21armVMYjcB5wSBhEddbxgXGG9-vvNc?auto=format&w=384
103, 10, fco, https://i.seadn.io/gae/Bdko1G4WZ2Y_V7ngG8JEniWy0qFj48yZK13I-eFR5SODXjMzUYJ__gzne6lmDzHo9Yg6rOiPY3PYLD3n47sb8nsN2PdxYpTMXw6f-bI?auto=format&w=384
104, 10, fco, https://i.seadn.io/gae/UKd83e5N0f_1Le7FU3iPsnNURoACqEgb-2UOb3g3mGaGnMjsBa0P4T-iDDHO3sllgJZ198GWVQ1yolAkm7AjErNY83Um9CRxuJ5Gog?auto=format&w=384
105, 10, fco, https://i.seadn.io/gae/EpxZe7myI6rvgr68W00E1F97XJSVkqMFap8PAIjFyHcD9HsWG72zTZuIO0yE1l60-eXATBx8ywmOxYTMjFtffJfL2r2cZaKWlsPo?auto=format&w=384
106, 10, fco, https://i.seadn.io/gae/w11KEKrZUlEz4n3B-yXE2zPc7A1hSSMt8BGwwYpD-0Xoq66K_ahnTMVaP8bMdckWQElnSC0z6MH_JbL5FiRDq5ZGbJohU_w7HcVIvg?auto=format&w=384
107, 10, fco, https://i.seadn.io/gae/Z05pA_j5UtgvD-HVEIeIUe62CTQgNVrJT4S4nDG_A-oJZEtwKVwY_mxUvWUnFLpHrFo02VldJSyMd73bUKuQr7_4pypk9tHK45GU3A?auto=format&w=384
108, 10, fco, https://i.seadn.io/gae/Dh4obVwnI3CGg-NqSgjIEgeZ8LGhNctBktCjpG9xAYkA-ZTEigp2d9CMlF7ohNWCcbaaS5Elr2FzAhnRSbzxh_gE9ngTbcqmevwf?auto=format&w=384
109, 10, fco, https://i.seadn.io/gcs/files/be4813d9f879b0bbf751342cc7843d00.png?auto=format&w=384
110, 10, fco, https://i.seadn.io/gcs/files/3cf90d33e55ee2aa42d7d1fdd7eb56c2.png?auto=format&w=384
111, 10, fco, https://i.seadn.io/gcs/files/2e19ac887f36a72ce085f1b95d498ce3.png?auto=format&w=384
112, 10, fco, https://i.seadn.io/gcs/files/cdd488ff4c88d9839f2fd2cd3006a46e.png?auto=format&w=384
113, 10, fco, https://i.seadn.io/gcs/files/47cf0d55c6b8d2fa2ddbe29eea57cec5.png?auto=format&w=384
114, 10, fco, https://i.seadn.io/gcs/files/5cf7a4b53bfe808e05f0fbff8ae4c812.png?auto=format&w=384
115, 10, fco, https://i.seadn.io/gcs/files/ac9fd8e2bcda39cc6743881e313cd4f4.png?auto=format&w=384
116, 10, fco, https://i.seadn.io/gcs/files/69b933f4fbc144323a13ab1ab749399b.png?auto=format&w=384
117, 10, fco, https://i.seadn.io/gcs/files/1e276493b06494735b0fec7f78fcf55d.png?auto=format&w=384
118, 10, fco, https://i.seadn.io/gcs/files/30a2a96ca897960870f6b82696bb8612.png?auto=format&w=384
119, 10, fco, https://i.seadn.io/gcs/files/9ed9df005d79ec6265da7e11e33582bc.png?auto=format&w=384
120, 10, fco, https://i.seadn.io/gcs/files/39b3e97da4eed380d4f8e77b968fafa6.png?auto=format&w=384
201, 1, sco, https://i.seadn.io/gcs/files/5afa38820ba675afe529f717f4daca37.png?auto=format&w=1000
201, 2, sco, https://i.seadn.io/gcs/files/b421113967f180b2088a74f08f829186.png?auto=format&w=1000
201, 3, sco, https://i.seadn.io/gcs/files/7978ad67348a90872c4bac4e9085a0b8.png?auto=format&w=1000
